,neurons,layers,activation,loss,metr
0,32,2,sigmoid,82.41036165677585,0.13993972941086844
1,32,2,relu,35.13848143357497,0.6321051716804504
2,32,2,linear,53.04868375338041,0.43065016774030834
3,32,2,tanh,70.92145244891827,0.2653669680540378
4,32,3,sigmoid,92.63973588209886,0.021447413905452076
5,32,3,relu,31.04021585904635,0.6755628058543572
6,32,3,linear,53.87469482421875,0.42100484325335574
7,32,3,tanh,72.70531610342172,0.24833639309956476
8,32,5,sigmoid,95.09262143648587,-0.0074962450979420775
9,32,5,relu,18.553015635563778,0.8044305168665372
10,32,5,linear,52.072370089017426,0.4407586776293241
11,32,5,tanh,93.52240342360277,0.010783618710075434
12,32,10,sigmoid,95.09044412466196,-0.0074163474357472016
13,32,10,relu,20.460946009709286,0.7831567617563101
14,32,10,linear,52.45294394859901,0.4372633328804603
15,32,10,tanh,95.09448829064003,-0.007538023261496654
16,64,2,sigmoid,47.39689636230469,0.5126184568955348
17,64,2,relu,30.865638439471905,0.6780404081711402
18,64,2,linear,50.47356297419621,0.457706107543065
19,64,2,tanh,52.302528674785904,0.4629732989347898
20,64,3,sigmoid,64.56353407639723,0.32715600351086604
21,64,3,relu,21.514360134418194,0.7729533543953528
22,64,3,linear,54.47984988872822,0.41441739751742435
23,64,3,tanh,59.74462215717022,0.38042579086210865
24,64,5,sigmoid,95.094482421875,-0.007539580432841411
25,64,5,relu,20.514759650597206,0.7845040697317857
26,64,5,linear,54.07821596585787,0.41853280480091387
27,64,5,tanh,95.0972178532527,-0.007593132913685762
28,64,10,sigmoid,95.09377640944261,-0.007529104701601542
29,64,10,relu,19.50433613703801,0.7939824920434219
30,64,10,linear,57.17782915555514,0.38561461636653316
31,64,10,tanh,95.09933589054988,-0.007631186324243362
32,128,2,sigmoid,23.73063410245455,0.7540252988155072
33,128,2,relu,29.079681396484375,0.6952176506702716
34,128,2,linear,51.92461013793945,0.44231362296984744
35,128,2,tanh,29.002119357769306,0.699938388971182
36,128,3,sigmoid,87.60845477764423,0.07299494492606474
37,128,3,relu,20.235924647404598,0.786569764980903
38,128,3,linear,59.041255950927734,0.3652336574517764
39,128,3,tanh,89.67112555870644,0.05373443007612458
40,128,5,sigmoid,95.09402700570914,-0.007501481136736961
41,128,5,relu,19.326700797447792,0.7965896450556241
42,128,5,linear,55.735320164607124,0.4012312384752127
43,128,5,tanh,93.69932380089394,0.008589451702741476
44,128,10,sigmoid,95.0965335552509,-0.007558244889458785
45,128,10,relu,19.871763669527493,0.7911119415209844
46,128,10,linear,64.36734713040866,0.31058654418358433
47,128,10,tanh,95.10080249492938,-0.007614150356787901
