,neyrons,train_acc,test_acc
0,64,0.8146733333333334,0.80328
1,90,0.82508,0.8134
2,110,0.83191,0.8198399999999999
3,128,0.8295433333333333,0.81674
4,150,0.83461,0.8234
5,200,0.8368433333333334,0.8229600000000001
6,250,0.8444233333333333,0.8299200000000001
7,400,0.85397,0.8375999999999999
