;neurons number;learning rate;epoch;mean acc.(train);mean acc.(test)
78;30;0.05;1000;90.20665870118317;89.67266481224289
79;30;0.05;2000;92.50101093361229;92.03431260846847
80;30;0.05;5000;93.93937952169598;93.33933872460504
81;30;0.5;1000;77.33693902849356;76.46800108120863
82;30;0.5;2000;72.6126382526925;71.99568480544313
83;30;0.5;5000;72.70413205121005;72.19043057864674
84;50;0.0001;1000;55.55890193973399;55.30866436688018
85;50;0.0001;2000;56.410088515204244;56.09335999331857
86;50;0.0001;5000;57.3186380881958;56.80158984654822
87;50;0.005;1000;75.71397711525609;73.19191017013497
88;50;0.005;2000;77.26109919617572;74.86151638676724
89;50;0.005;5000;79.23584899643227;77.17304306027974
90;50;0.05;1000;88.8012494713704;88.39927234578464
91;50;0.05;2000;91.71285691723423;91.31511489958942
92;50;0.05;5000;93.41225514133929;92.85949393612616
93;50;0.5;1000;64.06666749489092;61.86666734243736
94;50;0.5;2000;63.28589047016349;61.18127967390171
95;50;0.5;5000;62.16837576271216;59.720859228402794
96;100;0.0001;1000;56.67448498207996;56.79273963349144
97;100;0.0001;2000;58.43305823182427;57.94611255721695
98;100;0.0001;5000;59.64850403758872;58.936393125840155
99;100;0.005;1000;75.48556097665083;73.32519474630232
100;100;0.005;2000;77.62610970235724;75.55700440621563
101;100;0.005;5000;79.67966356476799;77.93522688911276
102;100;0.05;1000;81.87754019783368;79.76528814352602
103;100;0.05;2000;85.4651100584413;83.92781632291879
104;100;0.05;5000;89.14533477242075;87.86816334402026
105;100;0.5;1000;53.26592528066666;53.46580024967746
106;100;0.5;2000;53.49962934328282;52.99956683208077
107;100;0.5;5000;52.266419618069854;52.1330445863985
108;200;0.0001;1000;58.498759300746336;58.398381035624844
109;200;0.0001;2000;59.08035037058985;58.592324339895626
110;200;0.0001;5000;61.31708851884032;60.4304373539946
111;200;0.005;1000;77.47620311424461;75.35178170750805
112;200;0.005;2000;79.16396073359135;77.25692297141674
113;200;0.005;5000;80.92903689936925;79.37739175490883
114;200;0.05;1000;66.66655824211777;66.66659470225859
115;200;0.05;2000;66.66658758610927;66.66661295941017
116;200;0.05;5000;66.66660554655296;66.66662259935366
117;200;0.5;1000;49.53333334843846;47.60000001405085
118;200;0.5;2000;53.70000001050729;52.6000000103199
119;200;0.5;5000;53.822222229925515;52.35555556297434
